threshold,n_flagged,precision,recall,f1,specificity,false_positive_rate
0,10,0.4,1.0,0.5714,0.0,1.0
1,10,0.4,1.0,0.5714,0.0,1.0
2,10,0.4,1.0,0.5714,0.0,1.0
3,10,0.4,1.0,0.5714,0.0,1.0
4,10,0.4,1.0,0.5714,0.0,1.0
5,10,0.4,1.0,0.5714,0.0,1.0
6,10,0.4,1.0,0.5714,0.0,1.0
7,10,0.4,1.0,0.5714,0.0,1.0
8,10,0.4,1.0,0.5714,0.0,1.0
9,10,0.4,1.0,0.5714,0.0,1.0
10,10,0.4,1.0,0.5714,0.0,1.0
11,10,0.4,1.0,0.5714,0.0,1.0
12,10,0.4,1.0,0.5714,0.0,1.0
13,10,0.4,1.0,0.5714,0.0,1.0
14,10,0.4,1.0,0.5714,0.0,1.0
15,10,0.4,1.0,0.5714,0.0,1.0
16,10,0.4,1.0,0.5714,0.0,1.0
17,10,0.4,1.0,0.5714,0.0,1.0
18,10,0.4,1.0,0.5714,0.0,1.0
19,10,0.4,1.0,0.5714,0.0,1.0
20,10,0.4,1.0,0.5714,0.0,1.0
21,10,0.4,1.0,0.5714,0.0,1.0
22,10,0.4,1.0,0.5714,0.0,1.0
23,10,0.4,1.0,0.5714,0.0,1.0
24,10,0.4,1.0,0.5714,0.0,1.0
25,10,0.4,1.0,0.5714,0.0,1.0
26,10,0.4,1.0,0.5714,0.0,1.0
27,10,0.4,1.0,0.5714,0.0,1.0
28,9,0.4444,1.0,0.6154,0.1667,0.8333
29,9,0.4444,1.0,0.6154,0.1667,0.8333
30,9,0.4444,1.0,0.6154,0.1667,0.8333
31,9,0.4444,1.0,0.6154,0.1667,0.8333
32,9,0.4444,1.0,0.6154,0.1667,0.8333
33,9,0.4444,1.0,0.6154,0.1667,0.8333
34,9,0.4444,1.0,0.6154,0.1667,0.8333
35,9,0.4444,1.0,0.6154,0.1667,0.8333
36,9,0.4444,1.0,0.6154,0.1667,0.8333
37,9,0.4444,1.0,0.6154,0.1667,0.8333
38,9,0.4444,1.0,0.6154,0.1667,0.8333
39,8,0.5,1.0,0.6667,0.3333,0.6667
40,8,0.5,1.0,0.6667,0.3333,0.6667
41,8,0.5,1.0,0.6667,0.3333,0.6667
42,8,0.5,1.0,0.6667,0.3333,0.6667
43,8,0.5,1.0,0.6667,0.3333,0.6667
44,8,0.5,1.0,0.6667,0.3333,0.6667
45,8,0.5,1.0,0.6667,0.3333,0.6667
46,8,0.5,1.0,0.6667,0.3333,0.6667
47,8,0.5,1.0,0.6667,0.3333,0.6667
48,7,0.5714,1.0,0.7273,0.5,0.5
49,7,0.5714,1.0,0.7273,0.5,0.5
50,7,0.5714,1.0,0.7273,0.5,0.5
51,7,0.5714,1.0,0.7273,0.5,0.5
52,7,0.5714,1.0,0.7273,0.5,0.5
53,7,0.5714,1.0,0.7273,0.5,0.5
54,5,0.8,1.0,0.8889,0.8333,0.1667
55,5,0.8,1.0,0.8889,0.8333,0.1667
56,5,0.8,1.0,0.8889,0.8333,0.1667
57,5,0.8,1.0,0.8889,0.8333,0.1667
58,5,0.8,1.0,0.8889,0.8333,0.1667
59,5,0.8,1.0,0.8889,0.8333,0.1667
60,5,0.8,1.0,0.8889,0.8333,0.1667
61,5,0.8,1.0,0.8889,0.8333,0.1667
62,4,1.0,1.0,1.0,1.0,0.0
63,4,1.0,1.0,1.0,1.0,0.0
64,3,1.0,0.75,0.8571,1.0,0.0
65,3,1.0,0.75,0.8571,1.0,0.0
66,2,1.0,0.5,0.6667,1.0,0.0
67,2,1.0,0.5,0.6667,1.0,0.0
68,0,0.0,0.0,0.0,1.0,0.0
69,0,0.0,0.0,0.0,1.0,0.0
70,0,0.0,0.0,0.0,1.0,0.0
71,0,0.0,0.0,0.0,1.0,0.0
72,0,0.0,0.0,0.0,1.0,0.0
73,0,0.0,0.0,0.0,1.0,0.0
74,0,0.0,0.0,0.0,1.0,0.0
75,0,0.0,0.0,0.0,1.0,0.0
76,0,0.0,0.0,0.0,1.0,0.0
77,0,0.0,0.0,0.0,1.0,0.0
78,0,0.0,0.0,0.0,1.0,0.0
79,0,0.0,0.0,0.0,1.0,0.0
80,0,0.0,0.0,0.0,1.0,0.0
81,0,0.0,0.0,0.0,1.0,0.0
82,0,0.0,0.0,0.0,1.0,0.0
83,0,0.0,0.0,0.0,1.0,0.0
84,0,0.0,0.0,0.0,1.0,0.0
85,0,0.0,0.0,0.0,1.0,0.0
86,0,0.0,0.0,0.0,1.0,0.0
87,0,0.0,0.0,0.0,1.0,0.0
88,0,0.0,0.0,0.0,1.0,0.0
89,0,0.0,0.0,0.0,1.0,0.0
90,0,0.0,0.0,0.0,1.0,0.0
91,0,0.0,0.0,0.0,1.0,0.0
92,0,0.0,0.0,0.0,1.0,0.0
93,0,0.0,0.0,0.0,1.0,0.0
94,0,0.0,0.0,0.0,1.0,0.0
95,0,0.0,0.0,0.0,1.0,0.0
96,0,0.0,0.0,0.0,1.0,0.0
97,0,0.0,0.0,0.0,1.0,0.0
98,0,0.0,0.0,0.0,1.0,0.0
99,0,0.0,0.0,0.0,1.0,0.0
100,0,0.0,0.0,0.0,1.0,0.0
