draw,recall,precision,specificity,n_flagged,flagged_set_jaccard,rank_recall_topk,topk_jaccard,spearman_rho,kendall_tau_b
0,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
1,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
2,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9951,0.9789
3,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9873,0.9552
4,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,0.9951,0.9789
5,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9979,0.9863
6,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9994,0.9952
7,1.0,0.4,0.5714,30,0.9667,1.0,1.0,0.9963,0.9819
8,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
9,0.75,0.6429,0.881,14,0.4828,1.0,1.0,0.9919,0.9686
10,0.5,0.6,0.9048,10,0.3448,1.0,1.0,0.9963,0.9819
11,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9979,0.9863
12,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9988,0.9908
13,1.0,0.4138,0.5952,29,1.0,1.0,1.0,1.0,0.9996
14,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
15,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,0.9951,0.9789
16,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9983,0.9863
17,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9914,0.9641
18,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9963,0.9819
19,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
20,1.0,0.4,0.5714,30,0.9667,1.0,1.0,1.0,0.9996
21,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9963,0.9819
22,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
23,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9882,0.9508
24,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9963,0.9819
25,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9902,0.9552
26,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9963,0.9819
27,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,0.9947,0.9745
28,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,0.9951,0.9789
29,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
30,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
31,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9983,0.9863
32,0.5,0.5455,0.881,11,0.3793,1.0,1.0,0.9878,0.9464
33,1.0,0.6,0.8095,20,0.6897,1.0,1.0,0.9862,0.9523
34,1.0,0.5,0.7143,24,0.8276,1.0,1.0,1.0,0.9996
35,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9914,0.9641
36,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
37,1.0,0.4,0.5714,30,0.9667,1.0,1.0,0.9957,0.9774
38,1.0,0.3429,0.4524,35,0.8286,1.0,1.0,0.9963,0.9819
39,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9979,0.9863
40,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9958,0.973
41,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
42,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9951,0.9789
43,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9958,0.973
44,0.0,0.0,0.9762,1,0.0345,1.0,1.0,1.0,0.9996
45,1.0,0.4138,0.5952,29,1.0,1.0,1.0,1.0,0.9996
46,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
47,1.0,0.7059,0.881,17,0.5862,1.0,1.0,1.0,0.9996
48,1.0,0.4138,0.5952,29,1.0,1.0,1.0,1.0,0.9996
49,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9979,0.9863
50,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
51,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,1.0,0.9996
52,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
53,1.0,0.7059,0.881,17,0.5862,1.0,1.0,1.0,0.9996
54,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
55,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,1.0,0.9996
56,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,0.9882,0.9508
57,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9994,0.9952
58,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
59,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,0.9979,0.9863
60,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
61,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
62,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9963,0.9819
63,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9902,0.9552
64,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
65,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
66,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9994,0.9952
67,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9958,0.9774
68,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,1.0,0.9996
69,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
70,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9979,0.9863
71,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
72,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
73,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,0.9951,0.9789
74,1.0,0.6667,0.8571,18,0.6207,1.0,1.0,0.9994,0.9952
75,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9958,0.973
76,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9952,0.9793
77,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9902,0.9552
78,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9963,0.9819
79,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
80,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,0.9963,0.9819
81,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
82,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
83,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9957,0.9774
84,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9958,0.973
85,0.75,0.6429,0.881,14,0.4828,1.0,1.0,1.0,0.9996
86,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,1.0,0.9996
87,1.0,0.3429,0.4524,35,0.8286,1.0,1.0,1.0,0.9996
88,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9946,0.9755
89,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
90,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9979,0.9863
91,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9963,0.9819
92,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9963,0.9819
93,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,1.0,0.9996
94,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.991,0.964
95,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
96,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,1.0,0.9996
97,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9994,0.9952
98,1.0,0.4444,0.6429,27,0.931,1.0,1.0,0.9812,0.9286
99,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,0.9988,0.9908
100,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9988,0.9908
101,0.0,0.0,0.9762,1,0.0345,1.0,1.0,0.9988,0.9908
102,1.0,0.3429,0.4524,35,0.8286,1.0,1.0,1.0,0.9996
103,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
104,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9951,0.9789
105,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9963,0.9819
106,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,0.9988,0.9908
107,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,0.9958,0.9788
108,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9979,0.9863
109,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9958,0.9811
110,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9951,0.9789
111,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,1.0,0.9996
112,1.0,0.7059,0.881,17,0.5862,1.0,1.0,1.0,0.9996
113,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9994,0.9952
114,1.0,0.5,0.7143,24,0.8276,1.0,1.0,1.0,0.9996
115,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,0.9958,0.973
116,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9963,0.9819
117,1.0,0.6667,0.8571,18,0.6207,1.0,1.0,0.9897,0.9508
118,1.0,0.3429,0.4524,35,0.8286,1.0,1.0,1.0,0.9996
119,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
120,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,1.0,0.9996
121,0.75,0.6429,0.881,14,0.4828,1.0,1.0,1.0,0.9996
122,1.0,0.5,0.7143,24,0.8276,1.0,1.0,1.0,0.9996
123,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9934,0.9751
124,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,1.0,0.9996
125,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,1.0,0.9996
126,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,1.0,0.9996
127,1.0,0.3429,0.4524,35,0.8286,1.0,1.0,0.9963,0.9819
128,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9988,0.9908
129,1.0,0.4,0.5714,30,0.9667,1.0,1.0,0.9963,0.9819
130,1.0,0.7059,0.881,17,0.5862,1.0,1.0,1.0,0.9996
131,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9979,0.9863
132,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9951,0.9789
133,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,0.9931,0.9656
134,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,1.0,0.9996
135,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9951,0.9789
136,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
137,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,0.9958,0.9774
138,1.0,0.7059,0.881,17,0.5862,1.0,1.0,1.0,0.9996
139,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
140,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,0.9963,0.9819
141,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9988,0.9908
142,0.5,0.8571,0.9762,7,0.2414,1.0,1.0,1.0,0.9996
143,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9979,0.9863
144,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9899,0.9641
145,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9983,0.9896
146,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,1.0,0.9996
147,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9862,0.9523
148,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9976,0.9841
149,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
150,1.0,0.4615,0.6667,26,0.8966,1.0,1.0,0.9958,0.9774
151,1.0,0.5,0.7143,24,0.8276,1.0,1.0,0.9979,0.9863
152,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
153,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,0.9963,0.9819
154,1.0,0.6667,0.8571,18,0.6207,1.0,1.0,0.9963,0.9819
155,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9877,0.9464
156,0.75,0.6923,0.9048,13,0.4483,1.0,1.0,0.9951,0.9789
157,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9951,0.9789
158,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9963,0.9819
159,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9963,0.9819
160,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9882,0.9508
161,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9963,0.9819
162,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9988,0.9908
163,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9951,0.9789
164,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9979,0.9863
165,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9947,0.9641
166,1.0,0.7059,0.881,17,0.5862,1.0,1.0,0.9963,0.9819
167,1.0,0.3871,0.5476,31,0.9355,1.0,1.0,0.9963,0.9819
168,1.0,0.3529,0.4762,34,0.8529,1.0,1.0,0.9963,0.9819
169,1.0,0.4138,0.5952,29,1.0,1.0,1.0,0.9931,0.9656
