threshold,n_flagged,precision,recall,f1,specificity,false_positive_rate
0,54,0.2222,1.0,0.3636,0.0,1.0
1,54,0.2222,1.0,0.3636,0.0,1.0
2,54,0.2222,1.0,0.3636,0.0,1.0
3,54,0.2222,1.0,0.3636,0.0,1.0
4,54,0.2222,1.0,0.3636,0.0,1.0
5,54,0.2222,1.0,0.3636,0.0,1.0
6,54,0.2222,1.0,0.3636,0.0,1.0
7,54,0.2222,1.0,0.3636,0.0,1.0
8,54,0.2222,1.0,0.3636,0.0,1.0
9,54,0.2222,1.0,0.3636,0.0,1.0
10,54,0.2222,1.0,0.3636,0.0,1.0
11,54,0.2222,1.0,0.3636,0.0,1.0
12,54,0.2222,1.0,0.3636,0.0,1.0
13,54,0.2222,1.0,0.3636,0.0,1.0
14,54,0.2222,1.0,0.3636,0.0,1.0
15,54,0.2222,1.0,0.3636,0.0,1.0
16,54,0.2222,1.0,0.3636,0.0,1.0
17,54,0.2222,1.0,0.3636,0.0,1.0
18,54,0.2222,1.0,0.3636,0.0,1.0
19,54,0.2222,1.0,0.3636,0.0,1.0
20,54,0.2222,1.0,0.3636,0.0,1.0
21,54,0.2222,1.0,0.3636,0.0,1.0
22,54,0.2222,1.0,0.3636,0.0,1.0
23,54,0.2222,1.0,0.3636,0.0,1.0
24,54,0.2222,1.0,0.3636,0.0,1.0
25,54,0.2222,1.0,0.3636,0.0,1.0
26,54,0.2222,1.0,0.3636,0.0,1.0
27,54,0.2222,1.0,0.3636,0.0,1.0
28,51,0.2353,1.0,0.381,0.0714,0.9286
29,51,0.2353,1.0,0.381,0.0714,0.9286
30,51,0.2353,1.0,0.381,0.0714,0.9286
31,51,0.2353,1.0,0.381,0.0714,0.9286
32,51,0.2353,1.0,0.381,0.0714,0.9286
33,51,0.2353,1.0,0.381,0.0714,0.9286
34,51,0.2353,1.0,0.381,0.0714,0.9286
35,51,0.2353,1.0,0.381,0.0714,0.9286
36,51,0.2353,1.0,0.381,0.0714,0.9286
37,51,0.2353,1.0,0.381,0.0714,0.9286
38,51,0.2353,1.0,0.381,0.0714,0.9286
39,48,0.25,1.0,0.4,0.1429,0.8571
40,48,0.25,1.0,0.4,0.1429,0.8571
41,48,0.25,1.0,0.4,0.1429,0.8571
42,48,0.25,1.0,0.4,0.1429,0.8571
43,48,0.25,1.0,0.4,0.1429,0.8571
44,48,0.25,1.0,0.4,0.1429,0.8571
45,48,0.25,1.0,0.4,0.1429,0.8571
46,48,0.25,1.0,0.4,0.1429,0.8571
47,48,0.25,1.0,0.4,0.1429,0.8571
48,45,0.2667,1.0,0.4211,0.2143,0.7857
49,45,0.2667,1.0,0.4211,0.2143,0.7857
50,45,0.2667,1.0,0.4211,0.2143,0.7857
51,38,0.3158,1.0,0.48,0.381,0.619
52,35,0.3429,1.0,0.5106,0.4524,0.5476
53,35,0.3429,1.0,0.5106,0.4524,0.5476
54,34,0.3529,1.0,0.5217,0.4762,0.5238
55,34,0.3529,1.0,0.5217,0.4762,0.5238
56,34,0.3529,1.0,0.5217,0.4762,0.5238
57,34,0.3529,1.0,0.5217,0.4762,0.5238
58,34,0.3529,1.0,0.5217,0.4762,0.5238
59,31,0.3871,1.0,0.5581,0.5476,0.4524
60,29,0.4138,1.0,0.5854,0.5952,0.4048
61,26,0.4615,1.0,0.6316,0.6667,0.3333
62,17,0.7059,1.0,0.8276,0.881,0.119
63,17,0.7059,1.0,0.8276,0.881,0.119
64,14,0.6429,0.75,0.6923,0.881,0.119
65,13,0.6923,0.75,0.72,0.9048,0.0952
66,10,0.6,0.5,0.5455,0.9048,0.0952
67,7,0.8571,0.5,0.6316,0.9762,0.0238
68,1,0.0,0.0,0.0,0.9762,0.0238
69,1,0.0,0.0,0.0,0.9762,0.0238
70,0,0.0,0.0,0.0,1.0,0.0
71,0,0.0,0.0,0.0,1.0,0.0
72,0,0.0,0.0,0.0,1.0,0.0
73,0,0.0,0.0,0.0,1.0,0.0
74,0,0.0,0.0,0.0,1.0,0.0
75,0,0.0,0.0,0.0,1.0,0.0
76,0,0.0,0.0,0.0,1.0,0.0
77,0,0.0,0.0,0.0,1.0,0.0
78,0,0.0,0.0,0.0,1.0,0.0
79,0,0.0,0.0,0.0,1.0,0.0
80,0,0.0,0.0,0.0,1.0,0.0
81,0,0.0,0.0,0.0,1.0,0.0
82,0,0.0,0.0,0.0,1.0,0.0
83,0,0.0,0.0,0.0,1.0,0.0
84,0,0.0,0.0,0.0,1.0,0.0
85,0,0.0,0.0,0.0,1.0,0.0
86,0,0.0,0.0,0.0,1.0,0.0
87,0,0.0,0.0,0.0,1.0,0.0
88,0,0.0,0.0,0.0,1.0,0.0
89,0,0.0,0.0,0.0,1.0,0.0
90,0,0.0,0.0,0.0,1.0,0.0
91,0,0.0,0.0,0.0,1.0,0.0
92,0,0.0,0.0,0.0,1.0,0.0
93,0,0.0,0.0,0.0,1.0,0.0
94,0,0.0,0.0,0.0,1.0,0.0
95,0,0.0,0.0,0.0,1.0,0.0
96,0,0.0,0.0,0.0,1.0,0.0
97,0,0.0,0.0,0.0,1.0,0.0
98,0,0.0,0.0,0.0,1.0,0.0
99,0,0.0,0.0,0.0,1.0,0.0
100,0,0.0,0.0,0.0,1.0,0.0
