draw,recall,precision,specificity,n_flagged,flagged_set_jaccard,rank_recall_topk,topk_jaccard,spearman_rho,kendall_tau_b
0,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9995,0.9968
1,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9955,0.978
2,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9926,0.9699
3,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9883,0.9547
4,1.0,0.3562,0.5,73,0.9178,1.0,1.0,0.9932,0.9717
5,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9968,0.9816
6,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9979,0.9872
7,1.0,0.3768,0.5426,69,0.971,1.0,1.0,0.9957,0.9789
8,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9995,0.995
9,0.7692,0.625,0.8723,32,0.4776,1.0,1.0,0.9918,0.9646
10,0.5,0.5652,0.8936,23,0.3433,1.0,1.0,0.9955,0.978
11,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9977,0.9849
12,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9968,0.9795
13,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9995,0.995
14,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9995,0.995
15,1.0,0.3562,0.5,73,0.9178,1.0,1.0,0.9935,0.9726
16,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9965,0.9771
17,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9915,0.9622
18,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9953,0.9771
19,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9998,0.9986
20,1.0,0.3662,0.5213,71,0.9437,1.0,1.0,0.9985,0.9914
21,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9955,0.978
22,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9995,0.995
23,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9876,0.9449
24,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9953,0.9771
25,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9888,0.9467
26,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9954,0.9753
27,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9928,0.9676
28,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9935,0.9726
29,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9998,0.9986
30,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9935,0.9726
31,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9961,0.9753
32,0.5,0.52,0.8723,25,0.3731,1.0,1.0,0.9879,0.9461
33,1.0,0.52,0.7447,50,0.7463,1.0,1.0,0.9862,0.9511
34,1.0,0.4727,0.6915,55,0.8209,1.0,1.0,0.9995,0.995
35,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9905,0.9586
36,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9995,0.9968
37,1.0,0.3662,0.5213,71,0.9437,1.0,1.0,0.9947,0.9729
38,1.0,0.3171,0.4043,82,0.8171,1.0,1.0,0.995,0.9735
39,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9973,0.9831
40,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9952,0.9696
41,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9995,0.995
42,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9935,0.9726
43,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9952,0.9696
44,0.0,0.0,0.9681,3,0.0448,1.0,1.0,0.9995,0.9968
45,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9998,0.9986
46,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9932,0.9717
47,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9995,0.995
48,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9995,0.995
49,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9968,0.9816
50,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9998,0.9986
51,1.0,0.3562,0.5,73,0.9178,1.0,1.0,0.9995,0.995
52,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9932,0.9717
53,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9995,0.995
54,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9953,0.9771
55,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9995,0.995
56,1.0,0.3562,0.5,73,0.9178,1.0,1.0,0.9879,0.9485
57,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9979,0.9872
58,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9932,0.9717
59,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9973,0.9831
60,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9932,0.9717
61,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9932,0.9717
62,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9953,0.9771
63,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9888,0.9467
64,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9995,0.9968
65,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9931,0.9708
66,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9985,0.989
67,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9948,0.9702
68,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9995,0.995
69,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9998,0.9986
70,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9973,0.9831
71,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9998,0.9986
72,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9955,0.978
73,1.0,0.3562,0.5,73,0.9178,1.0,1.0,0.9932,0.9717
74,1.0,0.6047,0.8191,43,0.6418,1.0,1.0,0.9979,0.9872
75,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9953,0.9703
76,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9933,0.9723
77,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9888,0.9467
78,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9955,0.978
79,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9931,0.9708
80,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9957,0.9789
81,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9953,0.9771
82,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9932,0.9717
83,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9937,0.9676
84,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9954,0.9705
85,0.7692,0.5882,0.8511,34,0.5075,1.0,1.0,0.9995,0.995
86,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9997,0.9977
87,1.0,0.3171,0.4043,82,0.8171,1.0,1.0,0.9998,0.9986
88,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9925,0.9674
89,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9935,0.9726
90,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9968,0.9816
91,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9955,0.978
92,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9954,0.9753
93,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9991,0.9932
94,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9906,0.9595
95,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9998,0.9986
96,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9995,0.995
97,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9979,0.9872
98,1.0,0.4333,0.6383,60,0.8955,1.0,1.0,0.9818,0.927
99,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9971,0.9813
100,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9978,0.9831
101,0.0,0.0,0.9681,3,0.0448,1.0,1.0,0.9971,0.9813
102,1.0,0.3171,0.4043,82,0.8171,1.0,1.0,0.9995,0.9968
103,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9953,0.9771
104,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9932,0.9717
105,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9957,0.9789
106,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9978,0.9831
107,1.0,0.3562,0.5,73,0.9178,1.0,1.0,0.9944,0.9738
108,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9978,0.9852
109,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9944,0.9757
110,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9935,0.9726
111,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9995,0.995
112,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9998,0.9986
113,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9989,0.9908
114,1.0,0.4727,0.6915,55,0.8209,1.0,1.0,0.9997,0.9977
115,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9952,0.9696
116,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9952,0.9744
117,1.0,0.6047,0.8191,43,0.6418,1.0,1.0,0.9871,0.9383
118,1.0,0.3171,0.4043,82,0.8171,1.0,1.0,0.9995,0.995
119,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9995,0.995
120,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9995,0.9968
121,0.7692,0.625,0.8723,32,0.4776,1.0,1.0,0.9998,0.9986
122,1.0,0.4815,0.7021,54,0.806,1.0,1.0,0.9995,0.995
123,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9921,0.9693
124,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9995,0.995
125,0.7692,0.6667,0.8936,30,0.4478,1.0,1.0,0.9995,0.995
126,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9998,0.9986
127,1.0,0.3171,0.4043,82,0.8171,1.0,1.0,0.9953,0.9771
128,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9968,0.9795
129,1.0,0.3768,0.5426,69,0.971,1.0,1.0,0.9955,0.978
130,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9998,0.9986
131,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9971,0.9804
132,1.0,0.6842,0.8723,38,0.5672,1.0,1.0,0.9935,0.9726
133,1.0,0.3562,0.5,73,0.9178,1.0,1.0,0.9914,0.9592
134,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9998,0.9986
135,1.0,0.3881,0.5638,67,1.0,1.0,1.0,0.9932,0.9717
136,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9953,0.9771
137,0.5,0.8125,0.9681,16,0.2388,1.0,1.0,0.9953,0.9747
138,1.0,0.65,0.8511,40,0.597,1.0,1.0,0.9995,0.995
139,1.0,0.325,0.4255,80,0.8375,1.0,1.0,0.9957,0.9789
