threshold,n_flagged,precision,recall,f1,specificity,false_positive_rate
0,120,0.2167,1.0,0.3562,0.0,1.0
1,120,0.2167,1.0,0.3562,0.0,1.0
2,120,0.2167,1.0,0.3562,0.0,1.0
3,120,0.2167,1.0,0.3562,0.0,1.0
4,120,0.2167,1.0,0.3562,0.0,1.0
5,120,0.2167,1.0,0.3562,0.0,1.0
6,120,0.2167,1.0,0.3562,0.0,1.0
7,120,0.2167,1.0,0.3562,0.0,1.0
8,120,0.2167,1.0,0.3562,0.0,1.0
9,120,0.2167,1.0,0.3562,0.0,1.0
10,120,0.2167,1.0,0.3562,0.0,1.0
11,120,0.2167,1.0,0.3562,0.0,1.0
12,120,0.2167,1.0,0.3562,0.0,1.0
13,120,0.2167,1.0,0.3562,0.0,1.0
14,120,0.2167,1.0,0.3562,0.0,1.0
15,120,0.2167,1.0,0.3562,0.0,1.0
16,120,0.2167,1.0,0.3562,0.0,1.0
17,120,0.2167,1.0,0.3562,0.0,1.0
18,120,0.2167,1.0,0.3562,0.0,1.0
19,120,0.2167,1.0,0.3562,0.0,1.0
20,120,0.2167,1.0,0.3562,0.0,1.0
21,120,0.2167,1.0,0.3562,0.0,1.0
22,120,0.2167,1.0,0.3562,0.0,1.0
23,120,0.2167,1.0,0.3562,0.0,1.0
24,120,0.2167,1.0,0.3562,0.0,1.0
25,120,0.2167,1.0,0.3562,0.0,1.0
26,120,0.2167,1.0,0.3562,0.0,1.0
27,120,0.2167,1.0,0.3562,0.0,1.0
28,115,0.2261,1.0,0.3688,0.0532,0.9468
29,115,0.2261,1.0,0.3688,0.0532,0.9468
30,115,0.2261,1.0,0.3688,0.0532,0.9468
31,115,0.2261,1.0,0.3688,0.0532,0.9468
32,115,0.2261,1.0,0.3688,0.0532,0.9468
33,115,0.2261,1.0,0.3688,0.0532,0.9468
34,115,0.2261,1.0,0.3688,0.0532,0.9468
35,115,0.2261,1.0,0.3688,0.0532,0.9468
36,115,0.2261,1.0,0.3688,0.0532,0.9468
37,115,0.2261,1.0,0.3688,0.0532,0.9468
38,115,0.2261,1.0,0.3688,0.0532,0.9468
39,110,0.2364,1.0,0.3824,0.1064,0.8936
40,110,0.2364,1.0,0.3824,0.1064,0.8936
41,110,0.2364,1.0,0.3824,0.1064,0.8936
42,110,0.2364,1.0,0.3824,0.1064,0.8936
43,110,0.2364,1.0,0.3824,0.1064,0.8936
44,110,0.2364,1.0,0.3824,0.1064,0.8936
45,110,0.2364,1.0,0.3824,0.1064,0.8936
46,110,0.2364,1.0,0.3824,0.1064,0.8936
47,110,0.2364,1.0,0.3824,0.1064,0.8936
48,104,0.25,1.0,0.4,0.1702,0.8298
49,104,0.25,1.0,0.4,0.1702,0.8298
50,104,0.25,1.0,0.4,0.1702,0.8298
51,88,0.2955,1.0,0.4561,0.3404,0.6596
52,82,0.3171,1.0,0.4815,0.4043,0.5957
53,82,0.3171,1.0,0.4815,0.4043,0.5957
54,80,0.325,1.0,0.4906,0.4255,0.5745
55,80,0.325,1.0,0.4906,0.4255,0.5745
56,80,0.325,1.0,0.4906,0.4255,0.5745
57,80,0.325,1.0,0.4906,0.4255,0.5745
58,80,0.325,1.0,0.4906,0.4255,0.5745
59,73,0.3562,1.0,0.5253,0.5,0.5
60,67,0.3881,1.0,0.5591,0.5638,0.4362
61,61,0.4262,1.0,0.5977,0.6277,0.3723
62,40,0.65,1.0,0.7879,0.8511,0.1489
63,40,0.65,1.0,0.7879,0.8511,0.1489
64,32,0.625,0.7692,0.6897,0.8723,0.1277
65,30,0.6667,0.7692,0.7143,0.8936,0.1064
66,23,0.5652,0.5,0.5306,0.8936,0.1064
67,16,0.8125,0.5,0.619,0.9681,0.0319
68,3,0.0,0.0,0.0,0.9681,0.0319
69,3,0.0,0.0,0.0,0.9681,0.0319
70,0,0.0,0.0,0.0,1.0,0.0
71,0,0.0,0.0,0.0,1.0,0.0
72,0,0.0,0.0,0.0,1.0,0.0
73,0,0.0,0.0,0.0,1.0,0.0
74,0,0.0,0.0,0.0,1.0,0.0
75,0,0.0,0.0,0.0,1.0,0.0
76,0,0.0,0.0,0.0,1.0,0.0
77,0,0.0,0.0,0.0,1.0,0.0
78,0,0.0,0.0,0.0,1.0,0.0
79,0,0.0,0.0,0.0,1.0,0.0
80,0,0.0,0.0,0.0,1.0,0.0
81,0,0.0,0.0,0.0,1.0,0.0
82,0,0.0,0.0,0.0,1.0,0.0
83,0,0.0,0.0,0.0,1.0,0.0
84,0,0.0,0.0,0.0,1.0,0.0
85,0,0.0,0.0,0.0,1.0,0.0
86,0,0.0,0.0,0.0,1.0,0.0
87,0,0.0,0.0,0.0,1.0,0.0
88,0,0.0,0.0,0.0,1.0,0.0
89,0,0.0,0.0,0.0,1.0,0.0
90,0,0.0,0.0,0.0,1.0,0.0
91,0,0.0,0.0,0.0,1.0,0.0
92,0,0.0,0.0,0.0,1.0,0.0
93,0,0.0,0.0,0.0,1.0,0.0
94,0,0.0,0.0,0.0,1.0,0.0
95,0,0.0,0.0,0.0,1.0,0.0
96,0,0.0,0.0,0.0,1.0,0.0
97,0,0.0,0.0,0.0,1.0,0.0
98,0,0.0,0.0,0.0,1.0,0.0
99,0,0.0,0.0,0.0,1.0,0.0
100,0,0.0,0.0,0.0,1.0,0.0
